,key,og_caption,gen_caption,similarity
0,WOMEN-Graphic_Tees-id_00007790-02_7_additional.jpg,upper clothing short sleeves cotton fabric graphic patterns lower clothing long length solid color patterns female ring finger lady hat, short t chon graphic t cotton graphic t roundline long trousers fabric color patterns hat ring accessory,0.7158619165420532
1,WOMEN-Blouses_Shirts-id_00002943-01_1_front.jpg,female wears sleeveless tank shirt pure color patterns tank shirt leather fabric suspenders neckline shorts point length fabric patterns accessory wrist lady ring finger, tank shirt color point tank cotton solid patterns shirt fabriclineendersline fabric color patterns wrist ring,0.661525309085846
2,WOMEN-Jackets_Coats-id_00002083-02_1_front.jpg,shirt woman long sleeves cotton fabric solid color patterns outer clothing cotton fabric solid color patterns lady ring finger accessory wrist, long cotton solid patterns outer lady fabric color patterns wrist ring,0.7978223562240601
3,WOMEN-Tees_Tanks-id_00005096-02_2_side.jpg,upper clothing sleeves cotton fabric floral patterns round neckline accessory neck female hat head accessory wrist ring finger, shirt sleeves fabric patternlineenderslinelineline hat accessory lady finger wrist,0.832576334476471
4,WOMEN-Dresses-id_00005749-02_1_front.jpg,person long sleeve shirt patterns shirt round neckline shorts point length fabric stripe patterns person ring finger, sleeves fabric patternline point fabric patterns,0.5380489826202393
5,WOMEN-Dresses-id_00000238-01_7_additional.jpg,upper clothing short sleeves cotton fabric solid color patterns, sleeves fabric pattern color,0.7852798700332642
6,WOMEN-Skirts-id_00006463-09_1_front.jpg,lady sleeveless tank shirt pure color patterns tank shirt cotton v shape neckline point length skirt cotton fabric pure color patterns ring finger, sleeves fabric pattern color shapeline shapeline point cotton pure patterns ring,0.6010748147964478
7,WOMEN-Dresses-id_00007527-05_1_front.jpg,female wears sleeveless tank top solid color patterns point shorts tank top chiffon fabric neckline suspenders fabric pure color patterns person accessory wrist, sleeess shirt color patterns shorts length solid patterns neck susp accessory lady finger wrist,0.6206973791122437
8,WOMEN-Blouses_Shirts-id_00000507-01_3_back.jpg,sleeves fabric solid color patterns woman ring, sleevesiff fabric color patterns ring,0.8551880121231079
9,WOMEN-Cardigans-id_00002121-16_1_front.jpg,female long sleeve sweater solid color patterns neckline person outer clothing cotton fabric pure color patterns, sleeves fabric pattern color neck outer lady fabric color patterns ring,0.7607227563858032
